VOWEL,DURATION,F1,F2,F3,Stress
ʌ,136.92,918,1288,2993,u
ue,82.71,503,1530,2755,s
u,83.45,390,1266,2854,u
i,167.06,331,2733,3171,u
ʌ,123.83,941,1223,2918,u
ue,92.82,531,1589,2855,s
u,66.04,379,1329,2951,u
i,168.08,339,2790,3141,u
ɛe,120.02,797,2380,3122,s
e,96.72,646,2078,2944,u
e,64.26,605,1760,2895,u
o,136.82,598,1141,3229,u
ɛe,114.39,623,2288,3132,s
e,83.63,700,2090,2920,u
e,65.32,551,1775,2822,u
o,147.72,519,1092,3438,u
ɛe,75.35,649,2330,3001,s
e,95.90,591,2120,2884,u
i,149.08,359,2597,3047,u
ɛe,91.78,695,2306,2993,s
e,85.58,604,2185,2953,u
i,126.33,376,2547,2990,u
ʌ,108.24,881,1138,3016,u
ue,68.24,489,1450,2811,s
u,56.66,396,1250,2715,u
e,99.56,526,2187,2984,u
ɛ,162.27,622,1956,2864,u
ʌ,106.22,1004,1279,2967,u
ue,71.35,488,1315,2909,s
u,49.22,424,1386,2858,u
e,89.49,568,2107,3140,u
ɛ,165.66,751,2068,2900,u
e,82.12,564,2248,2901,s
e,61.12,555,2102,2918,u
e,62.41,358,2209,2909,u
o,121.01,624,1190,2829,u
e,82.25,569,2258,2873,s
e,71.29,509,2152,2775,u
e,83.57,459,2207,2892,u
o,123.27,621,1165,2823,u
øe,80.66,421,1934,2791,u
øe,113.66,562,1857,2738,s
ø,148.09,515,1763,2664,u
øe,167.36,549,1800,2775,u
øe,90.42,477,1790,2741,u
øe,106.51,570,1792,2679,s
ø,123.70,542,1873,2722,u
øe,180.42,596,1786,2674,u
ʌ,128.51,933,1066,3023,u
o,102.06,588,1353,2817,s
o,78.52,541,1056,3019,u
e,99.27,573,2128,2846,u
ʌ,120.99,936,1208,3040,u
o,81.18,566,1330,2902,s
o,82.24,517,1142,3039,u
e,131.90,574,2174,2877,u
a,182.59,1092,1744,2709,s
a,160.27,1061,1624,2593,s
e,95.48,559,2151,3000,s
a,129.46,942,1770,2744,u
e,73.57,488,2224,2957,u
o,111.73,573,1105,2933,u
e,105.42,593,2306,3007,s
a,138.50,965,1719,2801,u
e,79.14,507,2129,2966,u
o,115.75,628,1158,2877,u
ɛe,143.63,589,2447,2956,s
e,92.02,604,2277,3017,u
i,77.40,376,2529,2966,u
o,103.87,714,1257,2938,u
ɛe,106.10,677,2508,2921,s
e,91.17,589,2195,2852,u
i,96.17,364,2564,3056,u
o,76.92,626,1276,2991,u
e,58.20,459,2193,2917,u
ɛe,112.61,759,2305,2981,s
e,65.59,603,2068,2851,u
e,150.22,688,2098,2936,u
e,54.61,497,2163,2964,u
ɛe,111.98,754,2329,3139,s
e,75.19,647,2070,2892,u
e,123.53,572,1930,2917,u
e,90.04,623,2255,2907,s
e,81.46,533,2173,2767,u
i,112.84,351,2520,2862,u
e,109.74,585,2312,2920,s
e,94.78,559,2219,2742,u
i,143.75,344,2516,2869,u
e,72.76,516,2175,2962,u
ɛe,109.52,679,2440,2956,s
e,48.66,600,2008,2891,u
o,151.84,621,1057,2756,u
e,66.09,489,2210,2987,u
ɛe,110.42,689,2327,3082,s
e,57.08,610,2098,2845,u
o,132.52,615,1121,2803,u
ʌ,105.92,898,1330,2875,u
u,90.03,463,1392,2895,s
u,62.64,414,1327,2923,u
ʌ,162.02,787,1277,3115,u
ʌ,105.66,905,1402,2801,u
u,82.14,498,1565,2913,s
u,67.50,382,1209,2641,u
ʌ,194.01,935,1312,2848,u
ie,90.09,411,2660,3280,s
i,65.15,382,2568,2992,u
i,87.68,379,2564,3069,u
o,120.32,708,1115,3238,u
ie,95.41,441,2668,3364,s
i,69.95,373,2588,2956,u
i,80.20,353,2553,3085,u
o,116.33,677,1045,2718,u
e,71.30,480,2369,2906,u
e,112.35,584,2187,2905,s
ɛ,129.63,747,2184,2965,u
i,140.47,468,2712,3056,u
e,82.54,542,2335,2900,u
e,107.61,593,2259,2943,s
ɛ,114.83,740,2171,2944,u
i,148.18,439,2780,3253,u
a,239.90,1155,1815,2731,s
a,234.38,1091,1755,2996,s
e,100.94,626,2276,2913,s
e,91.49,482,2262,2804,u
i,137.14,350,2504,2950,u
e,117.84,607,2267,2950,s
e,93.41,474,2306,2791,u
i,136.58,366,2501,2922,u
o,163.61,649,980,3124,s
o,168.80,663,1012,3066,s
ʌ,119.01,896,1204,2998,u
e,73.02,637,2199,2985,s
ʌ,106.28,754,1448,2699,u
e,139.83,515,1937,2820,u
ʌ,116.39,888,1266,2985,u
e,83.90,611,2178,3010,s
ʌ,116.96,832,1414,2738,u
e,142.15,530,2210,2893,u
e,90.24,585,2254,2927,s
e,84.48,511,2304,2902,u
e,137.53,541,2120,2770,u
e,104.03,609,2244,2909,s
e,86.76,511,2266,2849,u
e,143.06,532,2123,2825,u
ʌ,119.30,911,1342,2866,u
e,72.14,635,2097,2935,s
ʌ,115.16,840,1444,2712,u
e,103.28,617,1626,2802,u
ʌ,103.30,929,1412,2892,u
e,90.45,660,2205,2998,s
ʌ,97.43,755,1421,2692,u
e,108.03,587,2063,2857,u
ʌ,111.18,876,1301,2935,u
o,82.03,654,1397,2858,s
o,74.58,582,1048,3055,u
i,108.73,357,2485,2881,u
ʌ,114.42,933,1325,2967,u
oe,103.46,710,1315,3057,s
o,56.75,587,1071,3057,u
i,149.15,373,2525,2870,u
e,73.55,507,2287,2887,u
e,103.06,662,2152,3056,s
a,118.93,996,1675,2664,u
e,116.73,699,2290,2939,u
e,68.75,504,2299,2998,u
e,112.56,647,2263,3069,s
a,115.35,1042,1722,2833,u
e,97.24,615,2185,2943,u
ɛ,86.10,650,2308,3020,s
e,81.19,582,2055,2880,u
e,53.49,530,2049,2861,u
ɛ,158.10,670,2036,2823,u
ɛe,105.40,638,2395,3168,s
e,87.50,601,2075,2900,u
e,60.89,528,2068,2966,u
ɛ,157.13,770,2036,2981,u
øe,115.53,575,1691,2751,s
ø,125.87,608,1828,2631,u
øe,125.06,588,1699,2672,u
øe,130.22,560,1769,2736,s
ø,111.84,589,1887,2745,u
øe,133.31,563,1715,2729,u
øe,118.83,552,1784,2826,s
ø,122.26,614,1821,2624,u
ø,145.48,599,1749,2532,u
ø,191.99,568,1800,2761,s
ø,195.49,554,1861,2766,s
ɛe,94.08,663,2198,3037,s
e,85.97,618,2083,2901,u
e,109.85,640,1941,2780,u
ɛe,85.77,627,2321,3031,s
e,100.38,656,2096,2877,u
e,110.52,636,1950,2782,u
øe,111.31,638,1683,2753,s
ø,91.83,584,1687,2606,u
øe,61.98,434,1949,2658,u
o,146.58,674,1136,2611,u
øe,119.04,663,1718,2745,s
ø,90.41,598,1741,2631,u
øe,62.50,477,1906,2594,u
o,150.80,656,1155,2735,u
øe,116.09,613,1665,2625,s
ø,109.69,615,1786,2645,u
øe,52.26,438,1984,2672,u
ʌ,81.01,876,1330,2865,u
e,78.23,683,2093,2842,s
ʌ,102.95,692,1519,2695,u
i,117.10,369,2429,2840,u
ʌ,110.11,906,1289,3057,u
e,71.94,638,2082,2968,s
ʌ,86.27,698,1477,2663,u
i,102.23,368,2416,2853,u
o,233.36,600,1042,2819,s
o,251.07,598,1055,2855,s
ʌ,96.97,878,1244,2982,u
oe,65.51,693,1417,2918,s
o,64.74,555,1156,2969,u
e,62.23,465,2083,2890,u
ɛ,120.14,667,1719,2746,u
ʌ,90.19,929,1261,2852,u
oe,77.26,684,1330,2897,s
o,62.56,550,1165,2946,u
e,66.29,462,2091,2895,u
ɛ,98.35,668,1842,2806,u
ʌ,80.83,875,1341,2840,u
oe,78.79,636,1377,2974,s
o,66.26,544,1063,3118,u
ʌ,129.80,771,1223,3091,u
ʌ,97.55,838,1269,2962,u
oe,79.16,653,1344,2978,s
o,61.80,585,1101,3055,u
ʌ,133.59,802,1187,2714,u
u,250.08,376,1266,2759,s
u,223.40,384,1258,2789,s
ʌ,92.84,927,1362,3073,u
e,79.28,678,2068,2894,s
ʌ,94.72,740,1437,2756,u
i,57.87,404,2402,2788,u
o,72.43,685,1316,2749,u
ʌ,104.81,924,1433,2913,u
e,73.42,704,2123,2950,s
ʌ,77.23,720,1438,2774,u
i,72.22,402,2366,2796,u
o,85.10,669,1213,2657,u
ʌ,91.09,904,1303,2958,u
oe,68.61,626,1385,2925,s
o,68.10,546,1183,3022,u
e,68.07,440,2126,2858,u
o,141.31,604,1097,2789,u
ʌ,81.49,840,1409,2848,u
oe,85.64,647,1461,2967,s
o,62.45,547,1153,2975,u
e,49.22,431,2083,2830,u
o,146.80,597,1085,2804,u
ʌ,92.78,945,1436,2544,u
ue,74.32,566,1514,2874,s
u,87.34,423,1251,2947,u
i,118.87,375,2453,2772,u
ʌ,71.63,915,1435,2780,u
ue,83.86,594,1660,2987,s
u,98.65,451,1270,2940,u
i,143.66,377,2511,2706,u
ie,67.62,409,2647,2951,u
i,94.59,452,2670,3191,s
i,50.26,324,2563,2973,u
e,133.08,583,1874,2757,u
ie,63.66,403,2648,3113,u
ie,79.73,431,2639,3110,s
i,63.42,431,2389,2931,u
e,154.81,598,1964,2529,u
ʌ,114.83,931,1300,2843,u
oe,75.12,672,1408,2958,s
o,78.53,535,1158,2949,u
i,110.94,355,2488,2847,u
ʌ,93.98,892,1322,2860,u
oe,79.40,648,1338,2995,s
o,63.62,525,1220,2971,u
i,101.15,360,2583,2930,u
ø,138.54,572,1648,2664,s
ø,149.71,559,1600,2570,s
e,107.65,641,2236,2931,s
a,150.69,975,1702,2712,u
e,90.42,575,1498,2731,u
e,108.27,614,2345,3025,s
a,154.72,990,1679,2628,u
e,107.19,565,2073,2882,u
ʌ,88.40,913,1075,2825,u
oe,65.00,604,1391,2862,s
o,53.11,549,1049,3186,u
e,113.83,687,1720,2765,u
ʌ,74.88,893,1330,3014,u
oe,77.42,640,1337,2989,s
o,58.30,560,1134,3105,u
e,119.75,724,1824,2706,u
ʌ,85.76,888,1362,2854,u
ue,68.86,560,1562,2928,s
u,64.62,339,1197,3034,u
e,135.14,690,2061,2917,u
ʌ,92.39,925,1281,2939,u
ue,65.67,590,1676,2879,s
u,70.72,357,1199,2907,u
e,164.40,651,2108,2879,u
ie,75.96,413,2564,2973,u
ie,71.57,488,2691,3131,s
i,61.08,350,2694,3120,u
i,141.30,380,2583,2829,u
ie,72.61,406,2542,2753,u
ie,76.74,497,2670,3090,s
i,52.86,350,2668,3089,u
i,128.54,384,2434,2943,u
ɛ,251.37,741,2234,2827,s
ɛ,260.94,730,2287,2915,s
ʌ,103.76,883,1334,3030,u
e,68.52,625,2019,2895,s
ʌ,101.04,759,1358,2763,u
ʌ,145.49,814,1258,2783,u
ʌ,106.86,854,1323,2791,u
e,74.56,653,2002,2940,s
ʌ,88.51,820,1501,2655,u
ʌ,131.44,869,1286,2694,u
ʌ,163.30,925,1197,2823,s
ʌ,169.01,914,1239,2877,s
ʌ,86.72,891,1321,2990,u
e,68.77,690,2065,2964,s
ʌ,78.75,762,1463,2729,u
e,51.20,440,2096,2830,u
o,126.46,590,1054,2789,u
ʌ,101.85,886,1367,3055,u
e,64.27,639,2060,2957,s
ʌ,90.65,775,1393,2751,u
e,58.50,450,2042,2814,u
o,150.94,624,1052,3017,u
øe,149.82,635,1617,2749,s
ø,118.95,586,1809,2639,u
i,169.66,365,2590,2986,u
øe,157.83,635,1614,2779,s
ø,120.60,573,1872,2653,u
i,155.38,387,2802,3165,u
ie,98.33,411,2587,3216,s
i,77.18,323,2616,2958,u
i,139.56,374,2645,2943,u
ie,99.56,478,2509,3192,s
i,83.67,387,2658,3032,u
i,142.81,386,2708,2971,u
e,81.90,653,2108,2970,s
e,91.25,596,2091,2818,u
i,60.50,402,2485,2895,u
o,108.00,774,1255,2948,u
e,97.32,723,2146,2957,s
e,93.06,582,2202,2789,u
i,71.27,415,2441,2810,u
o,99.36,663,1180,2808,u
ʌ,189.61,916,1180,2860,s
ʌ,202.55,889,1176,2877,s
ʌ,76.93,839,1400,2873,u
oe,76.27,735,1469,2901,s
o,76.00,568,1197,2973,u
i,42.16,409,2328,2768,u
o,93.74,627,1197,2914,u
ʌ,92.69,976,1494,2854,u
oe,76.60,694,1392,2996,s
o,72.43,570,1174,2984,u
i,64.91,414,2256,2811,u
o,92.02,663,1230,2550,u
e,86.18,647,2084,2915,s
e,68.73,578,2104,2699,u
e,63.99,468,2206,2906,u
ɛ,153.27,720,1756,2365,u
e,88.86,608,2278,2985,s
e,68.03,598,2182,2877,u
e,59.09,492,2116,2928,u
ɛ,153.94,774,1888,2794,u
e,75.11,578,2209,2823,u
e,102.80,632,2076,2992,s
a,120.42,1039,1724,2696,u
ʌ,148.71,808,1248,2997,u
e,68.33,529,2277,2911,u
e,93.12,617,2159,2948,s
a,111.74,980,1761,2249,u
ʌ,152.05,848,1265,3087,u
ie,89.71,420,2691,3118,s
i,65.36,335,2541,2898,u
e,60.99,407,2345,2965,u
ɛ,167.78,717,1576,2769,u
ie,82.55,393,2574,3270,s
i,70.59,317,2607,2933,u
e,62.42,510,2100,2820,u
ɛ,172.30,733,1491,2784,u
ie,81.70,420,2525,3131,s
i,66.42,353,2464,2881,u
e,58.65,415,2260,2907,u
ɛ,143.20,739,1597,2708,u
ie,87.25,384,2617,3104,s
i,71.15,325,2608,2857,u
e,45.03,443,2154,2935,u
ɛ,169.26,747,1793,2772,u
a,198.35,1129,1651,2690,s
a,185.43,1127,1644,2651,s
ʌ,77.29,938,1310,2836,u
ue,61.51,608,1566,2867,s
u,82.79,386,1132,3022,u
e,73.11,601,1890,2735,u
o,129.89,883,1096,3071,u
ʌ,86.77,881,1410,2811,u
ue,67.45,611,1618,2996,s
u,81.18,406,1143,3165,u
e,74.82,608,1800,2739,u
o,136.72,642,1076,2730,u
e,66.23,521,2253,2949,u
ɛe,105.35,767,2286,3046,s
e,61.24,648,2012,2822,u
ʌ,176.53,925,1300,3097,u
e,59.35,528,2241,2889,u
ɛe,120.71,773,2244,3026,s
e,72.38,655,1955,2826,u
ʌ,180.65,853,1222,3156,u
øe,65.48,533,1843,2683,u
øe,87.42,639,1799,2711,s
ø,134.47,550,1797,2686,u
øe,162.85,535,1898,2634,u
øe,68.69,540,1949,2712,u
øe,95.13,640,1879,2723,s
ø,135.50,544,1808,2751,u
øe,181.88,578,1914,2683,u
øe,56.11,510,1709,2641,u
øe,88.13,699,1740,2676,s
ø,98.73,618,1819,2655,u
o,156.73,644,1167,2660,u
øe,67.91,501,1763,2786,u
øe,85.71,645,1823,2753,s
ø,112.64,608,1791,2689,u
o,158.12,613,1150,2617,u
øe,57.41,500,2050,2665,u
øe,96.95,655,1814,2632,s
ø,132.15,578,1819,2655,u
o,162.26,602,1102,2595,u
e,69.59,546,2282,2864,u
e,80.96,653,2136,2936,s
a,110.52,1103,1782,2870,u
e,112.03,681,2318,3037,u
e,70.16,559,2237,2894,u
e,103.51,598,2244,3023,s
a,115.03,1068,1766,2762,u
e,129.24,613,2362,3011,u
e,162.35,591,2381,3013,s
e,179.87,664,2260,2946,s
e,181.66,550,2392,2952,s
e,199.98,530,2364,2888,s
o,125.85,637,985,2898,s
o,146.35,604,1007,2898,s
ie,86.08,407,2684,3180,s
i,76.67,326,2678,3013,u
e,115.38,791,1825,2690,u
ie,89.45,388,2513,3182,s
i,68.25,333,2634,3013,u
e,135.80,756,1859,2719,u
u,294.12,461,1146,3074,s
u,272.51,494,1126,2981,s
u,169.40,325,1340,2645,s
u,178.53,349,1349,2629,s
ʌ,196.32,1123,1226,3194,s
ʌ,189.12,1030,1083,2936,s
ʌ,107.30,920,1232,2963,u
ue,67.89,555,1577,2810,s
u,78.28,404,1124,2946,u
e,114.79,776,1879,2793,u
ʌ,108.38,936,1382,2797,u
ue,66.40,529,1586,2722,s
u,70.60,451,1231,2860,u
e,130.09,786,1835,2763,u
ʌ,76.49,901,1470,2722,u
ue,64.29,617,1710,2777,s
u,66.30,388,1331,2983,u
e,76.94,563,2004,2736,u
o,143.27,674,1201,2523,u
ʌ,92.73,872,1377,2911,u
ue,60.32,608,1675,2798,s
u,83.24,443,1239,2965,u
e,74.66,570,1946,2863,u
o,160.58,681,1152,2588,u
øe,53.28,511,1708,2649,u
øe,86.27,688,1765,2764,s
ø,99.39,614,1825,2654,u
øe,96.29,573,1906,2843,u
ɛ,180.49,722,1745,2684,u
øe,46.76,522,1843,2790,u
øe,85.32,645,1833,2825,s
ø,107.59,596,1785,2677,u
øe,87.61,493,1889,2858,u
ɛ,176.24,761,1778,2773,u
øe,48.78,494,1775,2673,u
øe,72.99,634,1841,2797,s
ø,121.37,601,1831,2659,u
øe,89.19,510,1891,2840,u
ɛ,175.92,776,1801,2689,u
øe,42.55,499,1810,2720,u
øe,62.02,634,1813,2733,s
ø,98.78,621,1810,2729,u
øe,82.19,497,1888,2825,u
ɛ,175.81,699,1722,2803,u
i,103.11,303,2584,3149,s
i,125.30,365,2507,2869,s
ʌ,93.29,936,1386,2875,u
e,76.23,733,2025,2923,s
ʌ,77.05,762,1538,2663,u
e,93.17,636,1890,2802,u
ɛ,161.29,698,1823,2767,u
ʌ,92.35,908,1468,2837,u
e,65.77,680,2064,2895,s
ʌ,93.10,786,1477,2783,u
e,87.70,570,1932,2899,u
ɛ,141.00,732,1878,2768,u
ʌ,66.16,869,1390,2870,u
oe,65.86,682,1488,2867,s
o,70.01,602,1154,2943,u
e,99.76,696,1751,2682,u
